,category,aggregated_date,id,total_quantity,total_value_usd,total_total_value_usd,normalized_y
0,Algo-Stables,2020-12-14,5385,70931.8602,70977.6504,702013461680.9592,0.00015165873791802775
1,Algo-Stables,2020-12-21,5385,14593806467.4888,14596132434.1362,731778260756.0104,29.919170635904237
2,Algo-Stables,2020-12-28,5385,30610440204.0048,30631273604.436596,804376527906.5072,57.121147637459785
3,Algo-Stables,2021-01-04,5385,45366876242.6265,45426280154.3028,891641177456.7241,76.42022593192917
4,Algo-Stables,2021-01-11,5385,54564092660.781006,54498673154.82509,1276829060518.584,64.02423962612168
5,Algo-Stables,2021-01-18,5385,65147205429.0342,65281232393.342094,2433532756388.447,40.23855784679753
6,Algo-Stables,2021-01-25,5385,50394217518.3798,50289386526.0828,3050715795187.894,24.72668214722316
7,Algo-Stables,2021-02-01,5385,44541372053.68471,44460457174.3185,3323695517852.126,20.065221198292953
8,Algo-Stables,2021-02-08,5385,43826246703.3789,43705506299.5548,3853131946258.4917,17.014278349069066
9,Algo-Stables,2021-02-15,5385,47395458194.067,47466486732.289505,4359171450523.592,16.3333172155645
10,Algo-Stables,2021-02-22,5385,46592224877.4138,46616899040.4753,4866270323154.97,14.369392556757502
11,Algo-Stables,2021-03-01,5385,46814068172.3544,46877653452.8547,5388644414753.601,13.049010988136859
12,Algo-Stables,2021-03-08,5385,50606281172.4462,50745568553.702095,4716649120941.741,16.13822671111798
13,Algo-Stables,2021-03-15,5385,60728802649.472694,60932304979.75801,6662673741855.594,13.717984852757025
14,Algo-Stables,2021-03-22,5385,58791547517.4252,58871663806.8681,7336779906142.174,12.036274338333804
15,Algo-Stables,2021-03-29,5385,58068369904.6962,58089141804.8205,7157610139221.433,12.173576237376448
16,Algo-Stables,2021-04-05,5385,57485010467.4147,57483535066.221596,6724604783120.871,12.822359882883031
17,Algo-Stables,2021-04-12,5385,58026498111.1962,58059030988.89181,7821679405595.141,11.134251605996534
18,Algo-Stables,2021-04-19,5385,56032392041.601295,55946395409.870705,10236761241045.42,8.197865627491753
19,Algo-Stables,2021-04-26,5385,56046694692.49109,56095284693.7539,12025761398695.729,6.996889781112462
20,Algo-Stables,2021-05-03,5385,59356979691.01561,59321676264.527695,14334533418022.129,6.207562660178255
21,Algo-Stables,2021-05-10,5385,71221341896.51671,71227956730.45139,17104783358315.316,6.2463191060374905
22,Algo-Stables,2021-05-17,5385,66102032860.3071,66195944961.36841,15578593312632.754,6.373740905190376
23,Algo-Stables,2021-05-24,5385,60109306515.9774,60042620138.3703,18526275251230.223,4.861415961180586
24,Algo-Stables,2021-05-31,5385,63798231300.9048,63751055955.8985,24912779656707.3,3.838455011907998
25,Algo-Stables,2021-06-07,8589,63801468575.252815,63955654859.19601,40779273680174.61,3.7640094540647344
26,Algo-Stables,2021-06-14,8589,63720820666.91394,63801614476.01664,43151345641867.484,3.5485306996746786
27,Algo-Stables,2021-06-21,8589,61875545252.652,62033405229.387,40112247976110.39,3.7115888553340923
28,Algo-Stables,2021-06-28,8589,80936450245.45747,81211291905.28752,38376543249281.85,5.078808148681745
29,Algo-Stables,2021-07-05,8589,102172049924.08951,102424939144.6302,38172310194606.51,6.4397426483725155
30,Algo-Stables,2021-07-12,8589,107932696723.38924,108125717751.87624,40777999629246.56,6.363767839616748
31,Algo-Stables,2021-07-19,8589,112340460043.88588,112665453255.21277,44139236447424.875,6.126002839550385
32,Algo-Stables,2021-07-26,8589,113880812504.09131,113933823479.00064,45272876967119.08,6.039845370290854
33,Algo-Stables,2021-08-02,8589,110238174400.32089,110200911346.08414,43746166558304.734,6.0458368821437425
34,Algo-Stables,2021-08-09,8589,105526328521.95576,105542911204.87483,42022732456953.56,6.027760977970035
35,Algo-Stables,2021-08-16,8589,111988936286.23285,111952803720.00113,38163070410199.445,7.0404903494398505
36,Algo-Stables,2021-08-23,8589,120515162230.60452,120513486024.19873,36523379702069.07,7.91910192368347
37,Algo-Stables,2021-08-30,8589,121157976074.79817,121207910742.33572,36196086402291.55,8.036752441921156
38,Algo-Stables,2021-09-06,8589,121752086383.34694,121737095218.03732,36613115153318.984,7.979900844269035
39,Algo-Stables,2021-09-13,8589,126969534119.00465,127109030331.64897,35796861847298.02,8.522022799017615
40,Algo-Stables,2021-09-20,8589,130549400772.43842,130652147449.37555,35813533663277.05,8.755493295542319
41,Algo-Stables,2021-09-27,8589,134237673375.76262,134313081750.6543,35672022995624.87,9.03653252973924
42,Algo-Stables,2021-10-04,8589,143539347365.65063,143501501181.72314,39561934556143.875,8.705428758732186
43,Algo-Stables,2021-10-11,8589,158173381799.53003,158173381799.53003,42231107661335.555,8.989016328037907
44,Algo-Stables,2021-10-18,8589,174193481690.8697,174440848804.04468,40819647090606.055,10.256287522536034
45,Algo-Stables,2021-10-25,8589,212271101368.8815,212510085526.61823,40211400419591.234,12.683572318844108
46,Algo-Stables,2021-11-01,8589,265087682872.0315,265049624782.62772,41819723376550.234,15.21098295535356
47,Algo-Stables,2021-11-08,8589,354631626600.7392,354631597709.59656,44316952699194.06,19.205197619973315
48,Algo-Stables,2021-11-15,8589,463768384379.6081,466452095418.5889,46608498267434.96,24.018903646736675
49,Algo-Stables,2021-11-22,8589,527432340306.4027,526902499938.7172,50877614998609.39,24.85505658800015
50,Algo-Stables,2021-11-29,8589,574530348421.8585,573819266862.8439,53272998097558.055,25.85111200140906
51,Algo-Stables,2021-12-06,8589,635825707111.5663,635163638378.9818,54493975993107.914,27.97360083071114
52,Algo-Stables,2021-12-13,8589,699045171905.8682,698433931398.7754,56204358312241.75,29.82404720368389
53,Algo-Stables,2021-12-20,8589,735065129744.1766,734886655124.8722,58038806642459.75,30.38877045086233
54,Algo-Stables,2021-12-27,8589,820350532754.7826,820029031414.696,56733785090239.01,34.68955353965753
55,Algo-Stables,2022-01-03,27504,928543367130.54,929824944143.7642,95494918376495.16,37.973929333744024
56,Algo-Stables,2022-01-10,45999,1021467729497.3611,1021138261756.7412,141985008232052.1,38.83611856030884
57,Algo-Stables,2022-01-17,45999,1204468297022.4758,1204047443591.3901,154713574006197.56,42.02511794558539
58,Algo-Stables,2022-01-24,45999,1345293669613.3447,1344362588922.6582,159035425190891.7,45.64742711549103
59,Algo-Stables,2022-01-31,45999,1355161409658.7205,1356792562928.9744,169750234108254.38,43.161530105131035
60,Algo-Stables,2022-02-07,45999,1367099141466.0579,1367211569439.7454,183051420527618.94,40.33261503076225
61,Algo-Stables,2022-02-14,45999,1390416481756.1184,1391738976245.2065,181712697600097.75,41.35864235675775
62,Algo-Stables,2022-02-21,45999,1409873100005.6074,1410360416729.1099,173955038178428.34,43.781119133355595
63,Algo-Stables,2022-02-28,90684,1499330653827.144,1500480837372.6042,264513375259759.66,47.64991192431139
64,Algo-Stables,2022-03-07,90684,1507140049995.0046,1507581653175.0737,251430961646347.12,50.366453692695416
65,Algo-Stables,2022-03-14,90684,1484848480343.9507,1483989282009.7437,251579937823795.25,49.54890313079177
66,Algo-Stables,2022-03-21,90684,1425673155925.8298,1425130561385.3284,313547204327859.0,38.17956770272856
67,Algo-Stables,2022-03-28,90684,1402086757533.6702,1403662893313.6855,358305636182440.2,32.90701321212652
68,Algo-Stables,2022-04-04,90684,1421296132993.6338,1418872598647.7068,369222015000450.25,32.280116960594036
69,Algo-Stables,2022-04-11,115419,1419435279045.2854,1416706472315.984,397722021374971.06,35.264313571174235
70,Algo-Stables,2022-04-18,140619,1427082078103.2507,1426606956419.592,431206049538014.0,37.71588854239768
71,Algo-Stables,2022-04-25,140619,1428187124886.1812,1425866330332.648,415904587842444.25,39.08318552126664
72,Algo-Stables,2022-05-02,140619,1416558561814.2698,1414610003000.9272,411625689007869.9,39.1777152516403
73,Algo-Stables,2022-05-09,140619,1117365588258.796,1118707231207.2712,325414209613817.56,39.19085909277813
74,Algo-Stables,2022-05-16,141126,789676803685.6871,791711184355.4324,280407736165809.12,33.03411305129328
75,Algo-Stables,2022-05-23,141126,774258198395.6627,775696434374.8145,313940840535582.8,28.908785065053276
76,Algo-Stables,2022-05-30,141126,788813930598.8907,789382889995.9237,313849181104902.4,29.427445948521683
77,Algo-Stables,2022-06-06,217188,818186546136.8264,818391691870.502,437125607108755.4,29.76816660732377
78,Algo-Stables,2022-06-13,222828,810673930406.7937,811931093401.2155,416440775670828.9,33.924634307059684
79,Algo-Stables,2022-06-20,222828,785850612269.412,786904615647.1471,428573936648146.94,31.94814042903736
80,Algo-Stables,2022-06-27,222828,815544300342.1561,816702236443.2708,453267351226496.25,31.351516661547308
81,Algo-Stables,2022-07-04,222828,791920119098.8193,793270917197.2776,476984383245290.06,28.9378739515974
82,Algo-Stables,2022-07-11,241218,787998446765.5024,788867638153.1459,493416799755518.7,30.21704645744117
83,Algo-Stables,2022-07-18,269868,794160532124.9811,795208952320.9203,658017955850669.8,24.653221820330153
84,Algo-Stables,2022-07-25,298668,794786224332.7922,795245629553.4325,737398910254146.9,23.617988913514576
85,Algo-Stables,2022-08-01,298668,776333044930.962,776591096636.8412,733231176870909.1,23.195065284766383
86,Algo-Stables,2022-08-08,298668,764694269720.5632,765435270405.701,743256809562074.6,22.5534865018749
87,Algo-Stables,2022-08-15,298668,765285295269.0162,766050454810.4205,742174852100026.8,22.60451821141355
88,Algo-Stables,2022-08-22,298668,730001893853.0684,730438556765.4808,728132453955825.8,21.969360528097695
89,Algo-Stables,2022-08-29,298668,829465147816.4016,829153465651.8156,746625285447611.4,24.320715158861155
90,Algo-Stables,2022-09-05,298668,757991793673.0148,758843005613.1985,751432053981255.2,22.115987380202448
91,Algo-Stables,2022-09-12,298668,756646113400.9027,756465736774.2026,729564283411109.4,22.70752559033891
92,Algo-Stables,2022-09-19,298668,725053654567.9534,725335084218.4807,689778431802855.6,23.028899733595534
93,Algo-Stables,2022-09-26,298668,718223542029.0006,719454384496.0012,679110609498974.4,23.201008495636266
94,Algo-Stables,2022-10-03,298668,724896681187.6221,724639299107.2158,669413632751707.9,23.70671864750358
95,Algo-Stables,2022-10-10,316725,724813987693.1207,724855823946.5526,665227579414097.1,25.170588308910595
96,Algo-Stables,2022-10-17,316725,727087162888.3506,727710617929.7378,602075616852960.2,27.920272476808062
97,Algo-Stables,2022-10-24,316725,703777270490.824,703844439848.8501,588326083463722.0,27.63570580584501
98,Algo-Stables,2022-10-31,316725,701997573896.6571,700948310745.4282,571988430302048.8,28.30810051467119
99,Algo-Stables,2022-11-07,316725,657514950305.7654,658960869182.3252,551761637042793.0,27.587992814605812
100,Algo-Stables,2022-11-14,316725,599863127042.6145,600024816679.9653,607979737256192.6,22.797755280233265
101,Algo-Stables,2022-11-21,316725,659742081603.1566,660357118156.1488,642678239159550.1,23.73543789090398
102,Algo-Stables,2022-11-28,302871,679336717365.8994,680746522268.9908,693978894357775.9,22.07098353506386
103,Algo-Stables,2022-12-05,302871,693585626701.4269,693764663701.6932,709239577774238.0,22.009072001135433
104,Algo-Stables,2022-12-12,323556,694739510219.4697,694894720480.4186,897741350879997.1,18.577147276531498
105,Algo-Stables,2022-12-19,323556,693420716601.9915,693733074134.801,925754935385162.0,17.98488254594952
106,Algo-Stables,2022-12-26,323556,690533565343.5625,690861037275.402,933776018418591.4,17.7565760605954
107,Algo-Stables,2023-01-02,323556,688584032444.5566,688869335522.5413,973400197099757.4,16.984652460314475
108,Algo-Stables,2023-01-09,323556,686519493070.2206,687779192366.8403,1030962368856545.5,16.01096326640125
109,Algo-Stables,2023-01-16,323556,501023764454.8139,501345672693.6001,1009318125493788.9,11.921212787851045
110,Algo-Stables,2023-01-23,323556,42826618209.42468,42845188879.23516,969696129387375.1,1.0604193436878862
111,Algo-Stables,2023-01-30,289605,41593339772.78652,41636948810.43222,782092035220054.1,1.1499389506661926
112,Algo-Stables,2023-02-06,289605,41080583506.53186,41097400578.58392,742824881122345.6,1.1950378548927538
113,Algo-Stables,2023-02-13,289605,40591577730.87162,40653963753.70625,775056787924430.4,1.1329822933770295
114,Algo-Stables,2023-02-20,289605,40370359375.602,40342687073.8929,904447764050129.6,0.9634630936494731
115,Algo-Stables,2023-02-27,289605,39049567470.4869,39060578575.94472,1012566998501923.2,0.8332372065143929
116,Algo-Stables,2023-03-06,289605,39740688276.84612,39474067741.77635,1120336210166065.1,0.7610571322121099
117,Algo-Stables,2023-03-13,291072,43904479595.16744,43936055110.147865,1007860438816922.9,0.9416172654749696
118,Algo-Stables,2023-03-20,291072,42947704260.66546,43136504753.52618,694920511331497.6,1.3407986776658747
119,Algo-Stables,2023-03-27,291072,41345211520.3509,41377095659.49084,552512678563670.8,1.6176013708290102
120,Algo-Stables,2023-04-03,297618,41313481193.468155,41330847630.665886,561160121505744.2,1.6129898195239405
121,Algo-Stables,2023-04-10,337968,41648310507.52764,41665032270.34686,626485248467347.5,1.655999572327854
122,Algo-Stables,2023-04-17,337968,41610804828.12036,41625663734.447464,509363046120137.56,2.0348532051602337
123,Algo-Stables,2023-04-24,337968,39801746630.7639,39797489685.53034,496764636682063.2,1.9948229402728863
124,Algo-Stables,2023-05-01,337968,39529010849.23278,39558804936.545525,481919424613986.7,2.0439396974068256
125,Algo-Stables,2023-05-08,337968,39016541464.62678,39008377182.50191,479724497972225.7,2.024721680777146
126,Algo-Stables,2023-05-15,337968,37518554403.27378,37517997563.49618,483451437893358.7,1.9323515582078448
127,Algo-Stables,2023-05-22,331422,36177163289.95302,36183886724.30706,482441876242701.94,1.8450380392977317
128,Algo-Stables,2023-05-29,331422,35315527699.79658,35293795928.09478,486923318469717.94,1.7830885211243528
129,Algo-Stables,2023-06-05,331422,55933958280.217674,55936304251.70094,459782745528160.06,2.992789742492775
130,Algo-Stables,2023-06-12,331422,86343844123.09097,86269888266.90085,443864583930513.44,4.781276380676489
131,Algo-Stables,2023-06-19,466380,89485360990.27956,89508218689.9359,554326861928845.56,4.747274235145951
132,Algo-Stables,2023-06-26,466380,92759995877.4232,92766404977.95421,566704717419620.2,4.812616204732212
133,Algo-Stables,2023-07-03,466380,93548231852.44714,93544391392.88077,563334361156447.2,4.882011992495727
134,Algo-Stables,2023-07-10,495216,93195365514.93271,93204954940.62167,593388161303323.2,4.7592963912490855
135,Algo-Stables,2023-07-17,394686,84858021745.72525,84839210232.7626,417458996519608.44,4.6335903871606465
136,Algo-Stables,2023-07-24,394686,71250152585.77278,71240641798.23647,398994473317012.2,4.070950205140437
137,Algo-Stables,2023-07-31,443556,59893671484.03177,59890075689.043976,426855068192226.56,3.830337714473635
138,Algo-Stables,2023-08-07,419421,63828079419.347824,63819410521.06314,379449323459830.44,4.0870060368575345
139,Algo-Stables,2023-08-14,419421,61151493131.00874,61132903476.98706,370218802746077.5,4.012571872287285
140,Algo-Stables,2023-08-21,419421,59406039849.15108,59414006487.82482,368574626975681.4,3.917145272589268
141,Algo-Stables,2023-08-28,419421,56937443357.39526,56967159294.261,396258957353881.56,3.4934275810307613
142,Algo-Stables,2023-09-04,419421,48865535540.58276,48865734069.09066,390722496998202.06,3.0390810536931205
143,Algo-Stables,2023-09-11,419421,40824024930.29412,40839128841.84804,400295785534766.94,2.4791438399261265
144,Algo-Stables,2023-09-18,461076,37343067831.651054,37336517051.37966,438132584739429.06,2.1986087624559785
145,Algo-Stables,2023-09-25,473304,37813758327.72396,37806848866.976395,440821425843499.9,2.315642706012119
146,Algo-Stables,2023-10-02,473304,37088566868.3499,37083080321.64918,448925828043689.3,2.2303086749267793
147,Algo-Stables,2023-10-09,504279,27833133128.715717,27829495004.37786,431539998411097.56,1.837930691349728
148,Algo-Stables,2023-10-16,504279,19259055828.5013,19258981510.61286,279224324283992.66,1.9657348064497857
149,Bridge,2021-05-17,15810,67500000.0,67376714.6601,15578593312632.754,0.0064874324633788245
150,Bridge,2021-05-24,15810,157500000.0,157757353.6338,18526275251230.223,0.01277299550188786
151,Bridge,2021-05-31,15810,157500000.0,157617288.1845,24912779656707.3,0.009490146645001002
152,Bridge,2021-06-07,15810,157500000.0,157357515.81870002,25487046050109.13,0.009261029044479611
153,Bridge,2021-06-14,15810,157500000.0,158033965.3074,26969591026167.18,0.0087895640586875
154,Bridge,2021-06-21,15810,157500000.0,158047840.2375,25070154985068.992,0.0094563340552718
155,Bridge,2021-06-28,15810,157500000.0,158003027.87129998,23985339530801.16,0.009881225216870364
156,Bridge,2021-07-05,15810,157500000.0,157778937.0207,23857693871629.07,0.009920003450647414
157,Bridge,2021-07-12,15810,157500000.0,157824223.3485,25486249768279.1,0.009288786587872126
158,Bridge,2021-07-19,15810,157500000.0,157959251.8002,27587022779640.547,0.008588780296914202
159,Bridge,2021-07-26,15810,158751735.07499996,158842667.889,28295548104449.42,0.00842054732263813
160,Bridge,2021-08-02,15810,155652429.10499996,155600431.55549997,27341354098940.46,0.008536543087392105
161,Bridge,2021-08-09,15810,154212429.168,154275675.75000003,26264207785595.977,0.008810983963960019
162,Bridge,2021-08-16,15810,152806476.64499998,152748400.5621,23851919006374.656,0.009606044728808393
163,Bridge,2021-08-23,15810,152526653.10000002,152537046.8247,22827112313793.168,0.010023412821200138
164,Bridge,2021-08-30,15810,152544653.10000002,152628514.60140002,22622554001432.215,0.010120111632294296
165,Bridge,2021-09-06,15810,152548253.10000002,152781708.1149,22883196970824.367,0.010014883954568959
166,Bridge,2021-09-13,15810,153192420.567,153535863.0915,22373038654561.26,0.010293809356571119
167,Bridge,2021-09-20,15810,152854525.26,153071187.7635,22383458539548.152,0.010257877764491573
168,Bridge,2021-09-27,15810,134903493.729,135047622.1041,22295014372265.54,0.009085952122468419
169,Bridge,2021-10-04,15810,121639687.54200003,121844628.9234,24726209097589.92,0.007391628157140935
170,Bridge,2021-10-11,15810,113666250.42000003,114001086.9708,26394442288334.723,0.0064786983785512986
171,Bridge,2021-10-18,15810,109636366.46400002,109916742.6459,25512279431628.78,0.006462578712760824
172,Bridge,2021-10-25,15810,109133850.42000002,109435089.402,25132125262244.52,0.006531585864312206
173,Bridge,2021-11-01,15810,109136100.42000002,109389409.9308,26137327110343.9,0.0062777694981390585
174,Bridge,2021-11-08,15810,110215724.68800001,110547367.6329,27698095436996.29,0.0059867311753090124
175,Bridge,2021-11-15,15810,71740822.2732,72113002.3143,29130311417146.848,0.0037132971880204017
176,Bridge,2021-11-22,15810,33857713.357200004,33893179.945199996,31798509374130.867,0.0015988098473307627
177,Bridge,2021-11-29,15810,5057713.3571999995,5053477.0203,33295623810973.785,0.00022766401895589846
178,Bridge,2021-12-06,15810,5057713.3571999995,5055604.137,34058734995692.445,0.00022265671953051414
179,Bridge,2021-12-13,15810,5057713.3572,5058262.625399999,35127723945151.09,0.0002159944649402011
180,Bridge,2021-12-20,15810,5057713.3572,5066392.6206,36274254151537.34,0.0002095036578602656
181,Bridge,2021-12-27,15810,5057713.3571999995,5066513.261100001,35458615681399.38,0.00021432787901070352
182,Bridge,2022-01-03,60816,55404374866.45596,55492397475.42636,227718651513180.75,2.266302268576334
183,Bridge,2022-01-10,60816,63983770275.970795,63962048566.20239,244529736399645.28,2.432616418861625
184,Bridge,2022-01-17,60816,84871951220.60388,84844895471.18315,266451155232895.8,2.9613590047763734
185,Bridge,2022-01-24,60816,63882249734.02824,63840697077.70799,273894343384313.47,2.1676916561566637
186,Bridge,2022-01-31,60816,54784863998.064,54849400426.94562,292347625408660.3,1.744838608685629
187,Bridge,2022-02-07,60816,46334388994.2126,46339618528.73916,315255224242010.4,1.367014466940102
188,Bridge,2022-02-14,61863,41817627387.67356,41859370920.69558,323044795733507.1,1.243945007460142
189,Bridge,2022-02-21,83793,43138115846.538666,43168236543.761406,357574245144547.2,1.3400501634060673
190,Bridge,2022-02-28,173463,42494927609.57886,42533094017.212555,538473656778796.44,1.3506991447737882
191,Bridge,2022-03-07,173463,36538574937.91183,36543284289.69048,511841600494349.5,1.220866300726968
192,Bridge,2022-03-14,173463,34841898846.94374,34830204752.50992,512144873427011.75,1.1629453542754264
193,Bridge,2022-03-21,201867,32151727794.9573,32125622023.90458,705481209737682.8,0.8606526267050552
