user_address,timeStamp,stake_change,cumulative_stake,Year
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2021-06-07,3.847142851905e+17,3.847142851905e+17,2021
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2021-06-23,9.214750376359875e+17,1.3061893228264873e+18,2021
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2021-07-09,7.50319471267789e+17,2.0565087940942766e+18,2021
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2021-07-11,2.65407580226861e+18,4.710584596362887e+18,2021
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2021-07-13,6.999300000001241e+18,1.1709884596364128e+19,2021
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2021-07-19,3.0709984474726195e+17,1.201698444111139e+19,2021
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2021-07-21,4.798597674947041e+18,1.6815582116058431e+19,2021
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2021-07-31,1.0958644117524064e+18,1.7911446527810839e+19,2021
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2021-08-24,8.182893004243891e+18,2.609433953205473e+19,2021
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2021-09-15,2.135834400875921e+18,2.823017393293065e+19,2021
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2022-09-27,4.293776741493847e+19,7.1167941347869114e+19,2022
0x00000000000123685885532dcb685c442dc83126,2021-08-19,1.402136158458757e+18,1.402136158458757e+18,2021
0x00000000000123685885532dcb685c442dc83126,2021-08-27,2.3619822514966543e+18,3.7641184099554115e+18,2021
0x00000000000747d525e898424e8774f7eb317d00,2022-12-07,1.357664072781564e+19,1.357664072781564e+19,2022
0x00000000003b3cc22af3ae1eac0440bcee416b40,2022-05-17,1.5484802897657735e+20,1.5484802897657735e+20,2022
0x00000000003b3cc22af3ae1eac0440bcee416b40,2022-05-31,32634992878236.0,1.5484806161157023e+20,2022
0x00000000003b3cc22af3ae1eac0440bcee416b40,2023-07-09,1.5229705814758255e+19,1.700777674263285e+20,2023
0x00000000003b3cc22af3ae1eac0440bcee416b40,2023-09-19,8.397635478283686e+18,1.7847540290461218e+20,2023
0x0000000000962b56d74f9b4d9f73a193f13c88c4,2023-12-11,2.1102680090841884e+20,2.1102680090841884e+20,2023
0x00000000009726632680fb29d3f7a9734e3010e2,2022-08-02,6.531363481315225e+18,6.531363481315225e+18,2022
0x00000000009726632680fb29d3f7a9734e3010e2,2022-10-30,1.957886476587977e+17,6.727152128974023e+18,2022
0x00000000009726632680fb29d3f7a9734e3010e2,2022-10-31,3.988979888769825e+18,1.0716132017743847e+19,2022
0x00000000009726632680fb29d3f7a9734e3010e2,2022-12-21,8.116178245585508e+17,1.1527749842302398e+19,2022
0x00000000009726632680fb29d3f7a9734e3010e2,2023-01-11,9.198070324096408e+18,2.0725820166398804e+19,2023
0x00000000009726632680fb29d3f7a9734e3010e2,2023-03-25,4.08252693577772e+18,2.4808347102176526e+19,2023
0x00000000009726632680fb29d3f7a9734e3010e2,2023-12-15,1.244639809934086e+19,3.725474520151738e+19,2023
0x00000000034b55ebd82cde9b38a85ab0978b7a47,2022-07-14,6.65063483360635e+19,6.65063483360635e+19,2022
0x00000000034b55ebd82cde9b38a85ab0978b7a47,2022-09-24,6.754353530808752e+19,1.34049883644151e+20,2022
0x0000000018c28635c7923320f3a551df89bd62b6,2023-11-29,2.04556329e+18,2.04556329e+18,2023
0x0000000031669ab4083265e0850030fa8dec8daf,2021-08-05,1.1588040871985004e+18,1.1588040871985004e+18,2021
0x000000003ce0cf2c037493b1dc087204bd7f713e,2022-09-20,7.287252350860915e+17,7.287252350860915e+17,2022
0x00000000c2cf7648c169b25ef1c217864bfa38cc,2022-06-12,1.0560605238991776e+19,1.0560605238991776e+19,2022
0x00000000c2cf7648c169b25ef1c217864bfa38cc,2022-07-21,2.594884546904096e+18,1.315548978589587e+19,2022
0x00000000c2cf7648c169b25ef1c217864bfa38cc,2022-07-30,3.688749717318575e+18,1.6844239503214447e+19,2022
0x00000003dff73965674dbcc9dfcec53e1789ed50,2022-11-14,1.8293813537132744e+20,1.8293813537132744e+20,2022
0x000000aaee6a496aaf7b7452518781786313400f,2022-01-26,5.124210821261867e+19,5.124210821261867e+19,2022
0x000018bbb8df8de9e3eaf772db1c4eec228ef06c,2022-11-27,2.168298603643776e+20,2.168298603643776e+20,2022
0x00005d0c9ac39db0798f6ca947202e5f55a10000,2023-08-03,1.2175736910738289e+19,1.2175736910738289e+19,2023
0x0000a441fbb1fbaadf246539bf253a42abd31494,2021-07-27,2.873135319231716e+18,2.873135319231716e+18,2021
0x0000a441fbb1fbaadf246539bf253a42abd31494,2021-10-23,9.167690952422644e+18,1.204082627165436e+19,2021
0x0002208085f5e1946500ad6616aa0ee2f19e826d,2023-02-17,9.74139797000084e+18,9.74139797000084e+18,2023
0x00032550944ee9b1a050796fc9074011b2f2c28f,2021-02-15,2.1690376992157192e+19,2.1690376992157192e+19,2021
0x00032550944ee9b1a050796fc9074011b2f2c28f,2021-09-16,1.6125304573212887e+19,3.781568156537008e+19,2021
0x0003fca368838e813fb6d80e6ade47104980158a,2023-08-02,1.076237097591482e+19,1.076237097591482e+19,2023
0x00065b1db6db72bf3670c02f3901f8dd17d933b4,2022-06-18,2.617514080219272e+18,2.617514080219272e+18,2022
0x0006980722eadd84fc234c83489d9ca84ffeb4a2,2021-02-16,1.4532e+19,1.4532e+19,2021
0x0007448f4ba168e24c35f835eefa1a76587d691d,2021-12-22,1.5540702539076895e+18,1.5540702539076895e+18,2021
0x000b75fcdc15d41277deb033c72d2c8d774ccced,2022-03-17,5.553498220888425e+19,5.553498220888425e+19,2022
0x000f7f22bfc28d940d4b68e13213ab17cf107790,2021-08-23,1.6688024192241363e+20,1.6688024192241363e+20,2021
0x001076a29493cf2ace3474bfe308688effaf12cb,2022-07-17,1.16168334891674e+19,1.16168334891674e+19,2022
0x00137878c7c179cad13505c18c86fd84623f04c7,2021-05-16,1.6434518231476001e+18,1.6434518231476001e+18,2021
0x0013d355ab0b7fee64fcd3a53a9227b023536732,2021-11-22,2.1736083136470737e+19,2.1736083136470737e+19,2021
0x0014a4f88a92d3924a3f553dc51c290ce06ae125,2022-04-15,3.682575026232603e+19,3.682575026232603e+19,2022
0x0019f661c0798affea4dd0949a526b873511a9f5,2021-12-27,5.5232603040240345e+19,5.5232603040240345e+19,2021
0x001a203c2b145831de85d706a258f6766371acd9,2021-03-20,4.895e+18,4.895e+18,2021
0x001ac3f0972b620cd6be82ba54d111614d7d48fb,2023-07-14,9.46165891936792e+18,9.46165891936792e+18,2023
0x001b261d0d060467630fdca054f25bcfc8dd1296,2021-03-12,2.5e+19,2.5e+19,2021
0x0027003e0039314e90b8600000006a081decc200,2022-05-23,9.699795454411314e+19,9.699795454411314e+19,2022
0x0027003e0039314e90b8600000006a081decc200,2022-05-27,1.7263725163804236e+20,2.6963520618215552e+20,2022
0x0027003e0039314e90b8600000006a081decc200,2022-05-29,5.585564528227999e+19,3.254908514644355e+20,2022
0x0027003e0039314e90b8600000006a081decc200,2022-05-31,5.570713261577037e+19,3.8119798408020584e+20,2022
0x0027003e0039314e90b8600000006a081decc200,2022-06-03,8.574760271219543e+19,4.6694558679240134e+20,2022
0x0027003e0039314e90b8600000006a081decc200,2022-07-09,2.1436821750941503e+19,4.883824085433428e+20,2022
0x002ad2406d6d05e0c58e39af6eb506f762e9f7bb,2021-06-10,2.9544591106506926e+18,2.9544591106506926e+18,2021
0x002c609dc34918269e2174d82fcb6ecb4f6cf386,2021-03-02,4.4385107887391534e+18,4.4385107887391534e+18,2021
0x002d2715b179d0db3e17cc28317a98f2f65e6884,2021-02-02,8.900613246193274e+18,8.900613246193274e+18,2021
0x002d2715b179d0db3e17cc28317a98f2f65e6884,2021-12-08,5.507160306689698e+18,1.440777355288297e+19,2021
0x002e7f273b46e0abad44d381aa74795df5780089,2021-06-28,4.0131814440357693e+18,4.0131814440357693e+18,2021
0x002e7f273b46e0abad44d381aa74795df5780089,2021-10-19,5.831131765698136e+18,9.844313209733906e+18,2021
0x002e7f273b46e0abad44d381aa74795df5780089,2021-11-20,1.6777088070077968e+19,2.6621401279811875e+19,2021
0x002e7f273b46e0abad44d381aa74795df5780089,2022-01-01,2.429152253372121e+19,5.091292381353309e+19,2022
0x003325d3054cd7668fb16f19ea11bae6d02a474c,2022-04-10,1.4009461836248037e+19,1.4009461836248037e+19,2022
0x0034db03ed1deae95663a716b31a106789d35db7,2021-10-23,1.904040528953917e+19,1.904040528953917e+19,2021
0x0038af98d4c3f015f944155850adb56cd207c76b,2022-03-14,2.1301483232485097e+19,2.1301483232485097e+19,2022
0x0039920d01d3597f8bcb78a8af95077d3935ba96,2021-11-07,1.7415313243635463e+21,1.7415313243635463e+21,2021
0x003f1083c6b9b6a3f56dd0ddf28e350baced7498,2022-06-07,1.2028708548364627e+17,1.2028708548364627e+17,2022
0x00405dc6b34d782df3feb0f0ec308fc27d4bd6bb,2021-09-12,7.46722589939536e+18,7.46722589939536e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-05-26,5188866502027841.0,5188866502027841.0,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-05-27,263870820431218.0,5452737322459059.0,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-05-28,155664879593047.0,5608402202052106.0,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-05-30,4.490261183347892e+17,4.546345205368413e+17,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-01,1.2148477459043832e+18,1.6694822664412244e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-02,1.1215292360034968e+17,1.7816351900415741e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-03,1.4097222346150488e+17,1.922607413503079e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-04,1.2816998322258038e+18,3.2043072457288827e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-05,5.087678218045949e+17,3.7130750675334774e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-06,3.948698747362313e+17,4.107944942269709e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-07,1.757373912272606e+17,4.283682333496969e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-08,2.314572691514292e+17,4.515139602648399e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-09,6.849991656846644e+17,5.200138768333063e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-10,4.0801829003707475e+17,5.608157058370138e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-11,4.183489813588013e+17,6.026506039728939e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-12,2.7816040363720982e+17,6.304666443366149e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-13,8.540033931327773e+17,7.158669836498927e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-14,6.915986705209235e+17,7.85026850701985e+18,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-15,2.82360139671775e+18,1.06738699037376e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-16,3.8480419649905787e+18,1.4521911868728179e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-17,6.568564177019197e+18,2.1090476045747376e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-18,5.567798379260555e+18,2.665827442500793e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-19,2.1245947442560184e+18,2.878286916926395e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-20,5.766657762570111e+18,3.454952693183406e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-21,5.871409606630225e+17,3.5136667892497084e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-22,2.690561714551698e+18,3.782722960704878e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-23,2.167808997512666e+18,3.999503860456145e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-24,9.095800348156689e+18,4.909083895271814e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-25,3.8711187974345334e+18,5.296195775015267e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-26,4.686257087806198e+18,5.764821483795887e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-27,1.0214223456616982e+18,5.866963718362057e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-28,1.284533418150753e+19,7.151497136512809e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-29,4.981947573605872e+18,7.649691893873397e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-06-30,1.8786907404970914e+19,9.528382634370489e+19,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-01,4.775580354751033e+18,1.0005940669845592e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-02,9.928747140826325e+18,1.0998815383928224e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-03,2.985159982344263e+18,1.129733138216265e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-04,3.1728365292326574e+18,1.1614615035085916e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-05,1.0458485306645094e+19,1.2660463565750426e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-06,4.347999254911223e+18,1.3095263491241548e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-07,4.377586426562662e+18,1.3533022133897814e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-08,1.0590684334431496e+19,1.4592090567340964e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-09,7.858871228697383e+18,1.53779776902107e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-10,1.1859146190368567e+19,1.6563892309247558e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-11,1.1127567572329275e+19,1.7676649066480488e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-12,1.7571860556750447e+19,1.943383512215553e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-07-13,2.9261286052373924e+18,1.972644798267927e+20,2021
