id,name,chain,category,type,github,twitter,oracles,project_count
2378,stake.link liquid,Ethereum,Liquid Staking,Asset Management,,stakedotlink,[],1
1564,Philetairus Socius,Fantom,Dexes,Trading & Exchanges,,philetairus,[],1
3273,Sharelock,zkSync Era,Dexes,Trading & Exchanges,,sharelockwin,[],1
2576,Goledo,Conflux,Lending,"Lending, Borrowing & Real World Assets",,GoledoFinance,[Witnet],1
495,HFIone,Heco,Yield,Asset Management,,fi_heco,,1
2567,Timeswap V2,Polygon,Lending,"Lending, Borrowing & Real World Assets",,TimeswapLabs,[],1
917,Pacoca,Binance,Yield,Asset Management,[Pacoca-io],pacoca_io,,1
2681,Kava Football Club,Kava,Prediction Market,"Infrastructure, Services & Financial Products",,KavaFCBet,[],1
2371,RAIDSHIFT Marketplace,Tron,Dexes,Trading & Exchanges,,raidshift,[],1
3101,Athena Finance,Metis,Yield,Asset Management,,Athena_DeFi_,[],1
695,Dinosaur Eggs,Binance,Dexes,Trading & Exchanges,[Dinosaur-eggs],dsgmetaverse,,1
959,Alpaca City,Ethereum,Yield,Asset Management,[AlpacaCity],CityAlpaca,,1
1217,Parallel Liquid Crowdloan,Parallel,Liquid Staking,Asset Management,,ParallelFi,,1
562,Crystl Finance,Polygon,Yield,Asset Management,,CrystlFinance,[],1
340,Olympus DAO,Ethereum,Reserve Currency,Asset Management,[OlympusDAO],OlympusDAO,,1
2891,MetaID,Kava,Staking Pool,"Infrastructure, Services & Financial Products",,,[],1
3592,Promethium,Arbitrum,Lending,"Lending, Borrowing & Real World Assets",[Spectrum-Dev-Team],promethiumpro,[],1
2498,Umee,Umee,Lending,"Lending, Borrowing & Real World Assets",[umee-network],Umee_CrossChain,[Ojo Oracle],1
3498,Liquis,Ethereum,Yield,Asset Management,,Liquisfi,[],1
378,MakiSwap,Heco,Dexes,Trading & Exchanges,[MakiSwap-Protocol],MakiSwap,[Chainlink],1
1036,BTCST,Binance,Yield,Asset Management,,BTCST2020,,1
3575,Scale,Base,Dexes,Trading & Exchanges,,Equalizer0x,[],1
3546,CoinEx,Ethereum,CEX,Trading & Exchanges,,coinexcom,[],1
3478,Astarter AMM,Cardano,Dexes,Trading & Exchanges,,AstarterDefiHub,[],1
626,Reserve,Ethereum,Indexes,"Infrastructure, Services & Financial Products",[reserve-protocol],reserveprotocol,,1
1339,API3,Ethereum,Oracle,"Infrastructure, Services & Financial Products",[api3dao],API3DAO,,1
3290,Jadeswap,Mantle,Dexes,Trading & Exchanges,,JadeSwapFi,[],1
3208,UNCX Network V3,Ethereum,Launchpad,"Infrastructure, Services & Financial Products",,UNCX_token,[],1
657,Synapse,Ethereum,Cross Chain,Trading & Exchanges,[synapsecns],SynapseProtocol,,1
1634,Solace,Polygon,Insurance,"Infrastructure, Services & Financial Products",[solace-fi],SolaceFi,[],1
3027,Alpaca Finance 2.0,Binance,Lending,"Lending, Borrowing & Real World Assets",,AlpacaFinance,[],1
2149,Based Next Generation,Fantom,Yield,Asset Management,,BasedDEFI,[Chainlink],1
1337,ViveLaBouje,Fantom,Yield,Asset Management,,BoujeFinance,,1
386,PolyQuity,Polygon,CDP,"Lending, Borrowing & Real World Assets",[PolyQuity],polyquity_org,,1
2422,Tonic,Near,Dexes,Trading & Exchanges,[tonic-foundation],tonicdex,[],1
2538,Parcl,Solana,Synthetics,Asset Management,,Parcl,[Pyth],1
119,SushiSwap,Ethereum,Dexes,Trading & Exchanges,,SushiSwap,[],1
2284,WOOFi Earn,Binance,Yield,Asset Management,,_WOOFi,[],1
2627,Cat in a Box,Ethereum,Lending,"Lending, Borrowing & Real World Assets",,catinaboxfi,[],1
742,Furucombo,Polygon,Yield,Asset Management,[dinngodev],furucombo,,1
640,KingDefi,Binance,Yield,Asset Management,[KingDeFi-Solidity],KingDefi2,,1
3341,Chronos V2,Arbitrum,Dexes,Trading & Exchanges,,ChronosFi_,[],1
1989,Mycelium Perpetual Swaps,Arbitrum,Derivatives,Trading & Exchanges,,mycelium_xyz,[Chainlink],1
3252,ReHold V2,Binance,Yield,Asset Management,,rehold_io,[],1
3418,Meowl,Ethereum,Services,"Infrastructure, Services & Financial Products",[meowlxyz],meowlxyz,[],1
2799,Monopoly Finance,Arbitrum,Farm,"Infrastructure, Services & Financial Products",,Monopoly_Fi,[],1
1920,OrderNChaos,Avalanche,Algo-Stables,Asset Management,,ordernchaos_fi,[],1
1573,ViteX,Vite,Dexes,Trading & Exchanges,,ViteXExchange,[],1
1146,CyberFantasyFembots,Polygon,Yield,Asset Management,,FantasyFembots,,1
2483,Perennial V1,Ethereum,Derivatives,Trading & Exchanges,,perenniallabs,[Chainlink],1
408,JetFuel Finance,Binance,Yield,Asset Management,[jetfuelfinance],Jetfuelfinance,,1
2286,Bybit,Bitcoin,CEX,Trading & Exchanges,,Bybit_Official,[],1
2644,Maverick Protocol,Ethereum,Dexes,Trading & Exchanges,,mavprotocol,[],1
2923,TProtocol V1,Ethereum,RWA,"Lending, Borrowing & Real World Assets",,TProtocol_,[],1
3302,Velodrome V2,Optimism,Dexes,Trading & Exchanges,,VelodromeFi,[],1
664,OakFarm,OKExChain,Yield,Asset Management,,OakFarm_io,,1
804,Gyro,Binance,Reserve Currency,Asset Management,[gyro-defi],GyroDAO,,1
1978,Bourbon Defi,Dogechain,Dexes,Trading & Exchanges,,FinanceBourbon,[],1
1466,ALEX,Stacks,Dexes,Trading & Exchanges,[alexgo-io],@ALEXLabBTC,[],1
879,DeerFi,Ethereum,Lending,"Lending, Borrowing & Real World Assets",,deerfi_com,,1
1609,MetalX Swap,Proton,Dexes,Trading & Exchanges,,MetalXApp,[],1
1417,GemMine,Fantom,Yield,Asset Management,,defi_waterfall,[],1
1147,Emerald Swap,Binance,Yield,Asset Management,,SwapEmerald,,1
2637,Sector Finance,Optimism,Yield,Asset Management,,sector_fi,[],1
2092,Pirex,Ethereum,Yield,Asset Management,,redactedcartel,[],1
2299,EMDX,Avalanche,Derivatives,Trading & Exchanges,[emdx-dex],emdx_io,,1
3621,Contrax Finance,Arbitrum,Yield,Asset Management,[Contrax-co],Contrax_Finance,[],1
2112,Stake.ly,Klaytn,Liquid Staking,Asset Management,,stake_ly,[],1
3559,Armada,Solana,Liquidity manager,Asset Management,,ArmadaFi,[],1
1074,AutoShark,Binance,Dexes,Trading & Exchanges,[autoshark-finance],AutoSharkFin,,1
2037,SpiritSwap Lending,Fantom,Lending,"Lending, Borrowing & Real World Assets",,Spirit_Swap,[Internal],1
1523,KLAYstation,Klaytn,Liquid Staking,Asset Management,,Orbit_Chain,[],1
2079,Inuswap,Dogechain,Dexes,Trading & Exchanges,,inuswapfi,[],1
3390,CookieBase Farm,Base,Farm,"Infrastructure, Services & Financial Products",,base_cookie,[],1
1539,CityCoins,Stacks,Yield,Asset Management,[citycoins],mineCityCoins,[],1
2480,AlgoBlocks,Binance,Services,"Infrastructure, Services & Financial Products",,Algoblockstrade,[],1
1098,Templar DAO,Binance,Reserve Currency,Asset Management,[TemplarDAO],TemplarDAO,,1
1428,StarCrazy,IoTeX,Gaming,"Infrastructure, Services & Financial Products",[GameFantasyDev],StarCrazyGame,[],1
1547,Jumbo Exchange,Near,Dexes,Trading & Exchanges,,jumbo_exchange,[],1
2713,pxswap,Kava,NFT Marketplace,Trading & Exchanges,,pxswap_xyz,[],1
3437,PySwap,Op_Bnb,Dexes,Trading & Exchanges,,pyswap,[],1
1659,Sirius Finance,Astar,Dexes,Trading & Exchanges,[SiriusFinance],Sirius_Finance,[],1
1765,UNCX Network V2,Ethereum,Launchpad,"Infrastructure, Services & Financial Products",,UNCX_token,[],1
1797,Stronghands,Cronos,Dexes,Trading & Exchanges,,StronghandsDev,[],1
1916,Hedge,Solana,CDP,"Lending, Borrowing & Real World Assets",,HedgeLabs,"[Pyth, Chainlink, Switchboard]",1
794,OolongSwap,Boba,Dexes,Trading & Exchanges,[OolongSwap],oolongswap,,1
721,Mycelium Perpetual Pools,Arbitrum,Derivatives,Trading & Exchanges,,mycelium_xyz,,1
3082,OlympulseX,Pulse,Reserve Currency,Asset Management,,OlympulseX,[],1
3468,Lybra V2,Ethereum,CDP,"Lending, Borrowing & Real World Assets",,LybraFinanceLSD,[Chainlink],1
1207,Across,Ethereum,Cross Chain,Trading & Exchanges,[across-protocol],AcrossProtocol,[UMA],1
1575,Penguin,Solana,Dexes,Trading & Exchanges,,png_fi,[Coingecko],1
3060,PulseX V2,Pulse,Dexes,Trading & Exchanges,,PulseXcom,[],1
2986,Asymmetry Finance,Ethereum,Indexes,"Infrastructure, Services & Financial Products",,asymmetryfin,[],1
1075,SpiritDAO,Avalanche,Reserve Currency,Asset Management,,spirits_dao,,1
3232,YieldPulse Finance,Pulse,Farm,"Infrastructure, Services & Financial Products",,YieldPulse,[],1
3642,Ultraswap,Algorand,Lending,"Lending, Borrowing & Real World Assets",,FolksFinance,[],1
637,SYNC Network,Ethereum,NFT Lending,"Lending, Borrowing & Real World Assets",[C-O-F-E],SYNCToken,,1
2852,Solunea,zkSync Era,Dexes,Trading & Exchanges,,SoluneaDex,[],1
280,Oxygen,Solana,Lending,"Lending, Borrowing & Real World Assets",,Oxygen_protocol,,1
540,Moonswap,Moonriver,Dexes,Trading & Exchanges,,MoonSwapDEX,,1
1194,Sperax USD,Arbitrum,Algo-Stables,Asset Management,,SperaxUSD,[DIA],1
2850,Toreus,Kava,Lending,"Lending, Borrowing & Real World Assets",,toreusfinance,[Witnet],1
3443,Loot  DAO,Ethereum,Services,"Infrastructure, Services & Financial Products",[lootexchange],lootproject,[],1
741,Vaulty Finance,Binance,Yield,Asset Management,[VaultyFinance],VaultyFi,[TWAP],1
3026,Monoceros,Kava,Yield,Asset Management,,MonocerosApp,[],1
719,Universe Finance,Ethereum,Liquidity manager,Asset Management,,Universe_FIN,,1
2885,Asymetrix Protocol,Ethereum,Yield,Asset Management,,asymetrix_eth,[Chainlink],1
1063,Embr Finance,Avalanche,Dexes,Trading & Exchanges,,EmbrFinance,,1
3346,CookieBase Dex,Base,Dexes,Trading & Exchanges,,base_cookie,[],1
2126,Redemption,Fantom,Dexes,Trading & Exchanges,,RedemptionPO,[TWAP],1
3509,Nether.Fi,Base,Derivatives,Trading & Exchanges,[nether-labs],netherlabs_,[Chainlink],1
2530,ZyberSwap Stableswap,Arbitrum,Dexes,Trading & Exchanges,,zyberswap,[],1
2482,CitaDAO,Ethereum,RWA,"Lending, Borrowing & Real World Assets",,citadao_io,[],1
140,Kava Lend,Kava,Lending,"Lending, Borrowing & Real World Assets",,hard_protocol,[Internal],1
2980,QuickPerps,Polygon zkEVM,Derivatives,Trading & Exchanges,,QuickswapDEX,[API3],1
1846,KefirSwap,Kava,Dexes,Trading & Exchanges,,kefirswap,[],1
2685,Arbitrum Exchange V2,Arbitrum,Dexes,Trading & Exchanges,,arbidex_fi,[],1
3295,ETHGlobal,Optimism,Services,"Infrastructure, Services & Financial Products",[ethglobal],ETHGlobal,[],1
2410,BAO Markets,Ethereum,Lending,"Lending, Borrowing & Real World Assets",,BaoCommunity,[],1
792,Pinyottas,Ethereum,NFT Marketplace,Trading & Exchanges,,pinyottas,,1
1592,Strips Finance,Arbitrum,Derivatives,Trading & Exchanges,,StripsFinance,[],1
2345,10KSwap,Starknet,Dexes,Trading & Exchanges,[10k-swap],10KSwap,[],1
1395,ArthSwap,Astar,Dexes,Trading & Exchanges,[ArthSwap],arthswap,[],1
2302,Goober,Ethereum,Yield,Asset Management,,goober_xyz,[],1
1907,Increment Swap,Flow,Dexes,Trading & Exchanges,,incrementfi,[],1
1487,KlayBank,Klaytn,Lending,"Lending, Borrowing & Real World Assets",,klaybank,[TWAP],1
954,REX Staking,Telos,Lending,"Lending, Borrowing & Real World Assets",,EOSauthority,,1
1468,Pact,Algorand,Dexes,Trading & Exchanges,[pactfi],pact_fi,[],1
3663,Nolus Protocol,Nolus,Lending,"Lending, Borrowing & Real World Assets",,NolusProtocol,[],1
3520,MonarchPay,Kava,Services,"Infrastructure, Services & Financial Products",,MonarchWallet,[],1
1034,Base Protocol,Ethereum,Indexes,"Infrastructure, Services & Financial Products",[Base-Protocol],BaseProtocol,,1
3392,OmniBTC,Sui,Lending,"Lending, Borrowing & Real World Assets",[OmniBTC],OmniBTC,[],1
2362,Hedgehog,Ethereum,Liquidity manager,Asset Management,,liqui_space,[TWAP],1
2703,Phenix DEX,Cronos,Dexes,Trading & Exchanges,[phenixfinance],phenixfinance,[],1
3403,Opankeswap,Op_Bnb,Dexes,Trading & Exchanges,,Opankeswap,[],1
2207,Ditto,Aptos,Liquid Staking,Asset Management,[ditto-research],Ditto_Finance,[],1
2506,Dyson,Polygon,Liquidity manager,Asset Management,,dyson_money,[],1
3464,SharesGram,Base,SoFi,Others,,SharesGram,[],1
2696,Overnight DAI+,Optimism,CDP,"Lending, Borrowing & Real World Assets",,overnight_fi,[],1
3102,Kannagi Finance,zkSync Era,Yield Aggregator,Asset Management,,Kannagi_Zksync,[],1
1268,Cronofi Finance,Cronos,Yield,Asset Management,,Cronofi_Finance,,1
639,EnterDAO,Ethereum,Services,"Infrastructure, Services & Financial Products",[EnterDAO],EnterDao,,1
