date,type,totalLiquidityUSD
2018-06-29 00:00:00,"Infrastructure, Services & Financial Products",2.054194079e-05
2018-06-30 00:00:00,"Infrastructure, Services & Financial Products",2.0614458269999998e-05
2018-07-01 00:00:00,"Infrastructure, Services & Financial Products",2.059700738e-05
2018-07-02 00:00:00,"Infrastructure, Services & Financial Products",2.052201392e-05
2018-07-03 00:00:00,"Infrastructure, Services & Financial Products",2.054985943e-05
2018-07-04 00:00:00,"Infrastructure, Services & Financial Products",2.056829213e-05
2018-07-05 00:00:00,"Infrastructure, Services & Financial Products",2.062664528e-05
2018-07-06 00:00:00,"Infrastructure, Services & Financial Products",2.061772841e-05
2018-07-07 00:00:00,"Infrastructure, Services & Financial Products",2.073487674e-05
2018-07-08 00:00:00,"Infrastructure, Services & Financial Products",2.081921976e-05
2018-07-09 00:00:00,"Infrastructure, Services & Financial Products",2.0649342110000002e-05
2018-07-10 00:00:00,"Infrastructure, Services & Financial Products",2.06632022e-05
2018-07-11 00:00:00,"Infrastructure, Services & Financial Products",2.072903069e-05
2018-07-12 00:00:00,"Infrastructure, Services & Financial Products",2.2391763470000002e-05
2018-07-13 00:00:00,"Infrastructure, Services & Financial Products",2.072851559e-05
2018-07-14 00:00:00,"Infrastructure, Services & Financial Products",2.1768457620000002e-05
2018-07-15 00:00:00,"Infrastructure, Services & Financial Products",2.329555779e-05
2018-07-16 00:00:00,"Infrastructure, Services & Financial Products",2.287856903e-05
2018-07-17 00:00:00,"Infrastructure, Services & Financial Products",2.440913338e-05
2018-07-18 00:00:00,"Infrastructure, Services & Financial Products",2.3619354709999998e-05
2018-07-19 00:00:00,"Infrastructure, Services & Financial Products",2.197411497e-05
2018-07-20 00:00:00,"Infrastructure, Services & Financial Products",2.329086946e-05
2018-07-21 00:00:00,"Infrastructure, Services & Financial Products",2.246507587e-05
2018-07-22 00:00:00,"Infrastructure, Services & Financial Products",2.529970959e-05
2018-07-23 00:00:00,"Infrastructure, Services & Financial Products",2.438961612e-05
2018-07-24 00:00:00,"Infrastructure, Services & Financial Products",2.729952416e-05
2018-07-25 00:00:00,"Infrastructure, Services & Financial Products",2.0543090459999998e-05
2018-07-26 00:00:00,"Infrastructure, Services & Financial Products",2.049357645e-05
2018-07-27 00:00:00,"Infrastructure, Services & Financial Products",2.050143345e-05
2018-07-28 00:00:00,"Infrastructure, Services & Financial Products",2.053405949e-05
2018-07-29 00:00:00,"Infrastructure, Services & Financial Products",2.053385885e-05
2018-07-30 00:00:00,"Infrastructure, Services & Financial Products",2.0492842519999997e-05
2018-07-31 00:00:00,"Infrastructure, Services & Financial Products",2.047211748e-05
2018-08-01 00:00:00,"Infrastructure, Services & Financial Products",2.0500414649999998e-05
2018-08-02 00:00:00,"Infrastructure, Services & Financial Products",2.0544645e-05
2018-08-03 00:00:00,"Infrastructure, Services & Financial Products",2.05072642e-05
2018-08-04 00:00:00,"Infrastructure, Services & Financial Products",2.05225491e-05
2018-08-05 00:00:00,"Infrastructure, Services & Financial Products",2.053856183e-05
2018-08-06 00:00:00,"Infrastructure, Services & Financial Products",1.9324991900000002e-05
2018-08-07 00:00:00,"Infrastructure, Services & Financial Products",2.197727555e-05
2018-08-08 00:00:00,"Infrastructure, Services & Financial Products",2.016751543e-05
2018-08-09 00:00:00,"Infrastructure, Services & Financial Products",2.2961879509999998e-05
2018-08-10 00:00:00,"Infrastructure, Services & Financial Products",2.054873238e-05
2018-08-11 00:00:00,"Infrastructure, Services & Financial Products",2.013403518e-05
2018-08-12 00:00:00,"Infrastructure, Services & Financial Products",2.027865766e-05
2018-08-13 00:00:00,"Infrastructure, Services & Financial Products",2.002540872e-05
2018-08-14 00:00:00,"Infrastructure, Services & Financial Products",2.032776669e-05
2018-08-15 00:00:00,"Infrastructure, Services & Financial Products",2.056135988e-05
2018-08-16 00:00:00,"Infrastructure, Services & Financial Products",2.601639507e-05
2018-08-17 00:00:00,"Infrastructure, Services & Financial Products",2.880661253e-05
2018-08-18 00:00:00,"Infrastructure, Services & Financial Products",2.843477074e-05
2018-08-19 00:00:00,"Infrastructure, Services & Financial Products",2.816409475e-05
2018-08-20 00:00:00,"Infrastructure, Services & Financial Products",2.8275449939999998e-05
2018-08-21 00:00:00,"Infrastructure, Services & Financial Products",2.788298466e-05
2018-08-22 00:00:00,"Infrastructure, Services & Financial Products",2.7819478889999998e-05
2018-08-23 00:00:00,"Infrastructure, Services & Financial Products",2.769012378e-05
2018-08-24 00:00:00,"Infrastructure, Services & Financial Products",2.598784578e-05
2018-08-25 00:00:00,"Infrastructure, Services & Financial Products",2.819721208e-05
2018-08-26 00:00:00,"Infrastructure, Services & Financial Products",2.801155778e-05
2018-08-27 00:00:00,"Infrastructure, Services & Financial Products",2.798237538e-05
