name,x,y,size
Amogus DAO,-0.6415810585021973,-0.03959120064973831,50
TopShelf,-0.6695721745491028,-0.8094520568847656,317
Arbitrum DAO,-0.002134778071194887,0.9911336302757263,337
OccamX,0.728766143321991,-0.0015057050622999668,39
stake.link liquid,-0.9776564836502075,-0.14432962238788605,15
KnightSwap Finance,-0.37928256392478943,0.9115712642669678,319
MarginSwap,-0.058062173426151276,-0.9304347634315491,492
ABcDeFX,0.6511814594268799,-0.608806848526001,176
MilkyWay,0.4640865623950958,0.8071372509002686,421
Ball Exchange,-0.9796220660209656,-0.12491554021835327,290
Bepswap,0.2889450788497925,0.7485666275024414,434
sevenswap,-0.5130313038825989,-0.7783441543579102,328
DXDao,-0.7214624285697937,-0.7136883735656738,121
Blue Planet,-0.8912073373794556,0.3338393270969391,239
Solidly V2,-0.8759056925773621,-0.23666280508041382,232
Gensokishi,-0.5462178587913513,-0.7616280913352966,10
Tokemak,-0.20281119644641876,-0.7513058185577393,178
Algomint,0.6412966847419739,-0.790350615978241,124
Atlas Aggregator,-0.951493501663208,-0.21869690716266632,148
Smoothy,0.6400948762893677,-0.5280617475509644,414
ioTube,-0.6540931463241577,0.7542245984077454,170
BAO Swap,0.7626009583473206,-0.637641191482544,283
Steer Protocol,0.9189505577087402,-0.04594498127698898,246
GMD Protocol,-0.32662615180015564,0.8271499276161194,476
Oaswap,-0.8219308853149414,-0.6045506000518799,15
Pilot Protocol,-0.4117894470691681,0.8365389108657837,22
Sushi Furo,0.9031659364700317,-0.035210564732551575,208
Mero,-0.3213614225387573,0.8338163495063782,177
Primal,-0.9441623091697693,-0.07433250546455383,165
FeDex Finance,-0.957028865814209,-0.16572648286819458,36
Standard Protocol,-0.5652835369110107,-0.7554833889007568,457
Mayfair Fund,0.8437342643737793,-0.28587108850479126,105
ko.one,-0.6560888886451721,0.7918757200241089,476
Mare Finance V1,0.9769429564476013,0.04822898283600807,435
Philetairus Socius,0.707518458366394,-0.7449498772621155,158
Polytrade,-0.8958042860031128,0.19275301694869995,392
MiningTycoon,0.9303901791572571,0.13396386802196503,455
Olive,0.47962987422943115,0.6473926901817322,324
OpenXswap,0.04333482310175896,-0.8836877942085266,463
Timewarp,0.8133878707885742,-0.47166818380355835,25
Armor,-0.2774335741996765,-0.6688744425773621,74
GLIF,0.8521448373794556,-0.43653833866119385,297
Messina Liquid Staking,-0.7807348966598511,0.5573241710662842,333
OneSwap,0.2290583848953247,0.7508736848831177,355
Quadrat,0.7641567587852478,0.5849995017051697,472
ZeroSwap,0.6665636301040649,-0.6337088942527771,196
Gale,0.6748536229133606,-0.6975996494293213,418
Liquity,-0.6676156520843506,-0.7005167007446289,226
Composable Finance,-0.23364770412445068,-0.6692810654640198,476
Sharelock,0.9005794525146484,0.3182385563850403,222
Spherium,0.830099880695343,-0.4892790615558624,491
JewelSwap NFT Lending,-0.43756571412086487,0.879911482334137,107
Jarvis Network,0.2585272192955017,0.9619812369346619,305
Pls2e,-0.2154056429862976,0.941330075263977,448
Kokoa Finance,0.9590087532997131,-0.12799419462680817,441
BaySwap,0.6142299175262451,-0.6870681643486023,447
Mirai,-0.9430010914802551,-0.36629894375801086,213
Kintsugi,0.43918195366859436,0.9202753305435181,257
New Bitcoin City,0.6188806891441345,0.8344463109970093,78
Gearbox,0.8640435338020325,-0.4962308704853058,123
Spectrumswap,-0.49812132120132446,0.8210378885269165,84
MuesliSwap,0.25140002369880676,0.9285349249839783,145
Unibot,-0.47589924931526184,0.7499094605445862,67
LuigiSwap,0.7508039474487305,0.45593956112861633,155
Beluga,0.8269574046134949,-0.3900158703327179,473
APWine,0.9938070774078369,-0.100165955722332,495
Anchor,0.22961245477199554,-0.8617214560508728,358
Arbor Finance,0.3105524480342865,-0.9280967712402344,93
Zookeeper,0.11926593631505966,-0.9336657524108887,228
Meowswap,-0.21663795411586761,-0.9702613353729248,408
BurgerSwap,0.9544917941093445,0.3358899652957916,53
Capricorn Finance,0.1010933667421341,-0.9847060441970825,462
PieDAO,0.6539388298988342,0.42919325828552246,477
Goledo,0.9796451926231384,0.0641913190484047,82
Meta Pool ETH,-0.851676344871521,0.4760352373123169,290
ElasticSwap,-0.8539265990257263,0.4844685196876526,31
Ambire Wallet,-0.7547293305397034,0.4482264816761017,387
Pluto,-0.5289925932884216,-0.429972380399704,327
Ensuro,-0.37803807854652405,0.6420007348060608,64
DefiBox,-0.513031542301178,-0.8831131458282471,373
Polywhale Finance,0.8118257522583008,-0.5199453830718994,338
zkBob,0.6854318976402283,0.5154168009757996,91
Equito Finance,-0.504635214805603,0.7975565195083618,439
X Blue Finance,0.4313025176525116,-0.8299997448921204,279
Bunni,-0.5260908007621765,-0.6026377081871033,251
Palma Swap,0.9376668930053711,0.40401625633239746,439
DuckyDeFi,-0.7687762975692749,0.6322904229164124,406
aSOL,0.8383687138557434,-0.5591297745704651,316
Manifesto,-0.50391685962677,-0.7202054262161255,489
Arkham,0.43878915905952454,0.8149890303611755,295
Kyborg Exchange,0.7116212248802185,-0.6073203682899475,25
Quarry,-0.6516367197036743,-0.644569456577301,308
Grape Finance,-0.6701890826225281,0.6274855136871338,406
HFIone,-0.762534499168396,-0.6189201474189758,137
Yield Protocol,0.7370725274085999,-0.6225453019142151,146
Benqi Staked Avax,-0.6864387392997742,0.5872044563293457,408
Ideamarket,-0.6454828381538391,-0.492655873298645,211
Atrix,-0.6563060283660889,-0.3748156726360321,400
Timeswap V2,0.3148729205131531,-0.8442875742912292,91
MM Finance Cronos,0.03674369677901268,0.9880778193473816,317
0xDAO,-0.827560544013977,0.3610251545906067,80
Grizzly Trade,0.664257287979126,0.8038472533226013,137
AirSwap,-0.6011660099029541,-0.6396545767784119,199
Liquid Driver,0.5980258584022522,0.7728978395462036,496
SageBet,0.7633741497993469,-0.660373866558075,27
ZilSwap,0.8255539536476135,0.4581114947795868,167
Pacoca,-0.2951638102531433,-0.5216693878173828,350
TiFi,-0.6735243201255798,-0.6482195258140564,212
Kava Football Club,0.7282726168632507,-0.05850287526845932,500
Zeniq Swap,-0.08772944658994675,-0.9506883025169373,386
RAIDSHIFT Marketplace,-0.4944828450679779,0.8800129890441895,154
X7 Finance,-0.5265845060348511,0.8318614959716797,61
BlueMeteor,0.806881308555603,-0.6260195970535278,45
Alligator,0.9343698620796204,-0.04932384938001633,492
Libero Financial,0.6640089154243469,-0.42798471450805664,146
GETH,0.36413928866386414,-0.8249768018722534,463
BaptSwap,-0.6637834310531616,-0.721193790435791,216
Hashflow,0.5219926238059998,-0.817157506942749,251
Athena Finance,0.9571725726127625,-0.23540401458740234,329
OneDAO Finance,0.790248692035675,0.5141199827194214,75
SwapMatic,0.26394200325012207,-0.8391455411911011,452
Dinosaur Eggs,-0.468787282705307,-0.7369474172592163,444
SynLev,0.7886199951171875,-0.6207103133201599,484
Skydrome,-0.3815142512321472,-0.9451139569282532,266
Stakerz,-0.21732236444950104,0.6174952387809753,240
Eris Protocol,-0.6515486240386963,0.6326045989990234,407
MantaSwap,-0.6760265231132507,-0.71238112449646,212
0xLend,-0.8982031345367432,-0.4390754699707031,467
FDoge Finance,-0.9482528567314148,0.09401143342256546,335
OSWAP Token,-0.07131638377904892,0.9661297798156738,282
Uswap,0.7618224024772644,0.4708860516548157,205
MeowSwapFi,0.5765382051467896,-0.8377487063407898,71
Dino.Exchange,-0.6021618843078613,0.8411690592765808,78
Pine Protocol,0.283454030752182,-0.9377181529998779,421
Alpaca City,0.9239899516105652,-0.02761068008840084,441
Symbiosis,-0.3960101008415222,0.9363829493522644,315
Garble.Money,-0.41487377882003784,-0.8427639007568359,457
Locus Finance,0.8941090106964111,-0.3678648769855499,106
Commodo,0.3035900294780731,-0.9653928279876709,429
Compound V3,0.642657995223999,-0.8137253522872925,416
Sherpa Cash,-0.5195169448852539,0.8928852677345276,188
SakePerp,-0.6819727420806885,-0.5169504880905151,231
Parallel Liquid Crowdloan,-0.6553462743759155,0.7006707191467285,482
Crystl Finance,0.7920857071876526,-0.6702510714530945,256
CoinW,0.9504371285438538,-0.3451082408428192,26
Parrot Defi,-0.10431183129549026,0.9706712961196899,179
FODL Finance,0.8629629611968994,0.18614277243614197,412
Avalanche,0.9003748893737793,0.1992044597864151,262
Summer.fi,-0.9311210513114929,0.13826234638690948,406
Waterfall DeFi,-0.19852608442306519,-0.9789125323295593,394
KDex,-0.9860303401947021,-0.03747735172510147,413
KACO Finance,-0.05426010489463806,-0.9512428045272827,493
