aggregated_date,id,protocol_name,category,type,chain_name,total_quantity,total_value_usd
2020-02-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,0.18,105.50712000000001
2020-03-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,7055.192100000001,2032145.31888
2020-04-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,232366.69968,73650992.10756001
2020-05-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,705726.2716200001,249480618.01734003
2020-05-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,59162.21304000002,20582256.19266
2020-05-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,59162.21304,20582256.19266
2020-05-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,59162.21304000001,20582256.19266
2020-06-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,1778684.9789399996,897646080.51906
2020-06-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,194137.20306,99028944.59975997
2020-06-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,194137.20306000006,99028944.59976
2020-06-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,194137.20306000003,99028944.59976001
2020-07-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,4510560.851040001,2153227962.38532
2020-07-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,606608.8361999999,289655983.10976005
2020-07-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,606608.8362000001,289655983.10976
2020-07-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,606608.8361999999,289655983.1097601
2020-08-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,5432484.909240001,3443723540.50284
2020-08-01,126,Loopring,Dexes,Trading & Exchanges,Ethereum,60.0,38739.83898
2020-08-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,2531695.448759999,1619788849.5816598
2020-08-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,2531695.4487600005,1619788849.5816596
2020-08-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,2531695.4487599996,1619788849.5816593
2020-09-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,6663977.378040001,3487556307.467221
2020-09-01,126,Loopring,Dexes,Trading & Exchanges,Ethereum,900.0,471962.33825999993
2020-09-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,4023119.3405999993,2122837999.5826197
2020-09-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,4023119.340600001,2122837999.5826197
2020-09-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,4023119.3406,2122837999.5826194
2020-10-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,7846648.64094,4420747662.51816
2020-10-01,126,Loopring,Dexes,Trading & Exchanges,Ethereum,930.0,522771.9689999999
2020-10-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,2682198.7139399997,1506887830.53324
2020-10-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,2682198.713940001,1506887830.53324
2020-10-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,2682198.713939999,1506887830.5332408
2020-11-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,4130478.2028000015,2212217419.1915402
2020-11-01,126,Loopring,Dexes,Trading & Exchanges,Ethereum,330.0,178886.01228
2020-11-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum,2303997.2818799997,1226735342.4567
2020-11-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,2303997.281879999,1226735342.4566998
2020-11-01,1838,AAVE V1,Lending,"Lending, Borrowing & Real World Assets",borrowed,2303997.28188,1226735342.4566998
2020-12-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-staking,85647.09360000001,46394714.57147999
2020-12-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-pool2,85647.09359999998,46394714.57147998
2020-12-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon-borrowed,85647.09360000001,46394714.57147998
2020-12-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",staking,85647.0936,46394714.57148001
2020-12-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Polygon,85647.09360000001,46394714.571480006
2020-12-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche-borrowed,85647.0936,46394714.57147999
2020-12-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum-borrowed,85647.09360000001,46394714.57147999
2020-12-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Ethereum,85647.09360000002,46394714.571480006
2020-12-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",pool2,85647.09360000001,46394714.57148
2020-12-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",borrowed,85647.09360000002,46394714.57147999
2020-12-01,111,AAVE V2,Lending,"Lending, Borrowing & Real World Assets",Avalanche,85647.09360000001,46394714.571479976
2020-12-01,116,Balancer V1,Dexes,Trading & Exchanges,Ethereum,2755821.8186999997,1486083295.0772998
2020-12-01,126,Loopring,Dexes,Trading & Exchanges,Ethereum,5917.0971599999975,3112554.8736600005
2020-12-01,167,PieDAO,Indexes,"Infrastructure, Services & Financial Products",staking,633.1325400000001,375418.5429
